event,group,pvalue,up_group
homozygous_ANY,perPD1_def0,0.816277943,High
Amplification_1p36.32,perPD1_def0,1,High
Amplification_1q21.3,perPD1_def0,0.358359251,Low
Amplification_1q32.1,perPD1_def0,0.418676159,Low
Amplification_2q37.3,perPD1_def0,0.099259356,Low
Amplification_5p15.33,perPD1_def0,0.409430578,Low
Amplification_5q31.3,perPD1_def0,0.786962677,High
Amplification_5q35.3,perPD1_def0,0.82466327,High
Amplification_6p21.2,perPD1_def0,0.865046243,High
Amplification_6q21,perPD1_def0,0.351928558,High
Amplification_7p22.2,perPD1_def0,0.25996892,Low
Amplification_7q36.2,perPD1_def0,0.191982455,Low